text,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,
pattern
1,bf/so/raita/skip/kmpskip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/skip/kmpskip/askip/,bf/kmp/so/skip/askip/,bf/kmp/so/skip/kmpskip/askip/,bf/kmp/so/skip/kmpskip/askip/,so/skip/kmpskip/askip/,bf/so/skip/kmpskip/askip/,so/skip/kmpskip/askip/,askip/,so/askip/,askip/,so/kmpskip/,kmpskip/,so/,
2, ,bf/so/skip/kmpskip/,bf/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,so/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,so/skip/askip/,so/skip/askip/,so/,so/,so/,so/,so/,so/,so/,askip/,so/,
4, , ,bf/tw/so/raita/skip/kmpskip/,kmpskip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/so/raita/skip/kmpskip/askip/,skip/kmpskip/askip/,raita/skip/kmpskip/askip/,skip/askip/,skip/kmpskip/askip/,kmpskip/,kmpskip/,skip/kmpskip/,kmpskip/,askip/,kmpskip/,kmpskip/,
8, , , ,bf/tw/raita/skip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,bf/kmp/tw/so/raita/skip/kmpskip/askip/,tw/so/raita/skip/kmpskip/askip/,tw/so/raita/skip/kmpskip/askip/,raita/skip/kmpskip/askip/,raita/skip/askip/,raita/skip/,raita/,raita/,raita/,raita/,raita/,skip/,raita/,
16, , , , ,bf/tw/raita/kmpskip/,bf/kmp/tw/so/raita/skip/kmpskip/,kmp/tw/skip/kmpskip/askip/,raita/skip/kmpskip/askip/,raita/skip/kmpskip/askip/,raita/skip/,raita/skip/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,
32, , , , , ,bf/tw/raita/skip/kmpskip/,raita/,bf/raita/skip/kmpskip/,raita/skip/kmpskip/askip/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,askip/,
64, , , , , , ,bf/raita/kmpskip/,raita/skip/kmpskip/,raita/skip/,raita/skip/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,skip/,
128, , , , , , , ,bf/,raita/skip/kmpskip/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,
256, , , , , , , , ,bf/tw/raita/kmpskip/,raita/skip/kmpskip/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,raita/,
512, , , , , , , , , ,bf/raita/kmpskip/,raita/kmpskip/,raita/,raita/,raita/,askip/,raita/,raita/,raita/,
1024, , , , , , , , , , ,bf/tw/raita/,kmpskip/,raita/,raita/,raita/,raita/,raita/,raita/,
2048, , , , , , , , , , , ,bf/raita/,raita/,raita/,raita/,raita/,raita/,raita/,
